-2212	Anti-p	0.9383	0	2	-1	0	0	0	0	-1	1
2212	p	0.9383	0	2	1	0	0	0	0	1	1
-2112	Anti-n	0.9396	0	2	-1	0	0	0	0	0	1
2112	n	0.9396	0	2	1	0	0	0	0	0	1
-12212	Anti-N(1440)+	1.43	0.35	2	-1	0	0	0	0	-1	10
-12112	Anti-N(1440)0	1.43	0.35	2	-1	0	0	0	0	0	10
12112	N(1440)0	1.43	0.35	2	1	0	0	0	0	0	10
12212	N(1440)+	1.43	0.35	2	1	0	0	0	0	1	10
-2124	Anti-N(1520)+	1.515	0.115	4	-1	0	0	0	0	-1	10
-1214	Anti-N(1520)0	1.515	0.115	4	-1	0	0	0	0	0	10
1214	N(1520)0	1.515	0.115	4	1	0	0	0	0	0	10
2124	N(1520)+	1.515	0.115	4	1	0	0	0	0	1	10
-22212	Anti-N(1535)+	1.535	0.15	2	-1	0	0	0	0	-1	13
-22112	Anti-N(1535)0	1.535	0.15	2	-1	0	0	0	0	0	13
22112	N(1535)0	1.535	0.15	2	1	0	0	0	0	0	13
22212	N(1535)+	1.535	0.15	2	1	0	0	0	0	1	13
-32212	Anti-N(1650)+	1.655	0.14	2	-1	0	0	0	0	-1	14
-32112	Anti-N(1650)0	1.655	0.14	2	-1	0	0	0	0	0	14
32112	N(1650)0	1.655	0.14	2	1	0	0	0	0	0	14
32212	N(1650)+	1.655	0.14	2	1	0	0	0	0	1	14
-2216	Anti-N(1675)+	1.675	0.15	6	-1	0	0	0	0	-1	8
-2116	Anti-N(1675)0	1.675	0.15	6	-1	0	0	0	0	0	8
2116	N(1675)0	1.675	0.15	6	1	0	0	0	0	0	8
2216	N(1675)+	1.675	0.15	6	1	0	0	0	0	1	8
-12216	Anti-N(1680)+	1.685	0.13	6	-1	0	0	0	0	-1	10
-12116	Anti-N(1680)0	1.685	0.13	6	-1	0	0	0	0	0	10
12116	N(1680)0	1.685	0.13	6	1	0	0	0	0	0	10
12216	N(1680)+	1.685	0.13	6	1	0	0	0	0	1	10
-22124	Anti-N(1700)+	1.7	0.15	4	-1	0	0	0	0	-1	6
-21214	Anti-N(1700)0	1.7	0.15	4	-1	0	0	0	0	0	6
21214	N(1700)0	1.7	0.15	4	1	0	0	0	0	0	6
22124	N(1700)+	1.7	0.15	4	1	0	0	0	0	1	6
-42212	Anti-N(1710)+	1.71	0.1	2	-1	0	0	0	0	-1	12
-42112	Anti-N(1710)0	1.71	0.1	2	-1	0	0	0	0	0	12
42112	N(1710)0	1.71	0.1	2	1	0	0	0	0	0	12
42212	N(1710)+	1.71	0.1	2	1	0	0	0	0	1	12
-32124	Anti-N(1720)+	1.72	0.25	4	-1	0	0	0	0	-1	6
-31214	Anti-N(1720)0	1.72	0.25	4	-1	0	0	0	0	0	6
31214	N(1720)0	1.72	0.25	4	1	0	0	0	0	0	6
32124	N(1720)+	1.72	0.25	4	1	0	0	0	0	1	6
2	N(1860)0	1.86	0.245685852	6	1	0	0	0	0	0	10
1	N(1860)+	1.86	0.245695821	6	1	0	0	0	0	1	10
-1	Anti-N(1860)+	1.86	0.245695821	6	-1	0	0	0	0	-1	10
-2	Anti-N(1860)0	1.86	0.245685852	6	-1	0	0	0	0	0	10
6	N(1880)0	1.87	0.247953379	2	1	0	0	0	0	0	12
5	N(1880)+	1.87	0.247962796	2	1	0	0	0	0	1	12
-5	Anti-N(1880)+	1.87	0.247962796	2	-1	0	0	0	0	-1	12
-6	Anti-N(1880)0	1.87	0.247953379	2	-1	0	0	0	0	0	12
4	N(1875)0	1.875	0.249087142	4	1	0	0	0	0	0	10
3	N(1875)+	1.875	0.249096284	4	1	0	0	0	0	1	10
-3	Anti-N(1875)+	1.875	0.249096284	4	-1	0	0	0	0	-1	10
-4	Anti-N(1875)0	1.875	0.249087142	4	-1	0	0	0	0	0	10
8	N(1895)0	1.895	0.253622195	2	1	0	0	0	0	0	8
7	N(1895)+	1.895	0.253630234	2	1	0	0	0	0	1	8
-7	Anti-N(1895)+	1.895	0.253630234	2	-1	0	0	0	0	-1	8
-8	Anti-N(1895)0	1.895	0.253622195	2	-1	0	0	0	0	0	8
-10	Anti-N(1900)0	1.9	0.2	4	-1	0	0	0	0	0	9
-9	Anti-N(1900)+	1.9	0.2	4	-1	0	0	0	0	-1	9
9	N(1900)+	1.9	0.2	4	1	0	0	0	0	1	9
10	N(1900)0	1.9	0.2	4	1	0	0	0	0	0	9
12	N(2000)0	2.05	0.277431225	6	1	0	0	0	0	0	4
11	N(2000)+	2.05	0.277433472	6	1	0	0	0	0	1	4
-11	Anti-N(2000)+	2.05	0.277433472	6	-1	0	0	0	0	-1	4
-12	Anti-N(2000)0	2.05	0.277431225	6	-1	0	0	0	0	0	4
16	N(2060)0	2.06	0.291036384	6	1	0	0	0	0	0	10
15	N(2060)+	2.06	0.291035323	6	1	0	0	0	0	1	10
-15	Anti-N(2060)+	2.06	0.291035323	6	-1	0	0	0	0	-1	10
-16	Anti-N(2060)0	2.06	0.291036384	6	-1	0	0	0	0	0	10
18	N(2100)0	2.1	0.300106491	2	1	0	0	0	0	0	9
17	N(2100)+	2.1	0.300103223	2	1	0	0	0	0	1	9
-17	Anti-N(2100)+	2.1	0.300103223	2	-1	0	0	0	0	-1	9
-18	Anti-N(2100)0	2.1	0.300106491	2	-1	0	0	0	0	0	9
20	N(2120)0	2.12	0.304641544	4	1	0	0	0	0	0	4
19	N(2120)+	2.12	0.304637173	4	1	0	0	0	0	1	4
-19	Anti-N(2120)+	2.12	0.304637173	4	-1	0	0	0	0	-1	4
